permitnum,statuscurrent,applieddate,issueddate,completeddate,permittype,permittypemapped,permitclass,permitclassgroup,permitclassmapped,workclass,workclassgroup,workclassmapped,description,applicantname,contractorname,housingunits,estprojectcost,totalsqft,originaladdress,communitycode,communityname,latitude,longitude,locationcount,locationtypes,locationaddresses,locationswkt,locationsgeojson,point,:@computed_region_4b54_tmc4,:@computed_region_4a3i_ccfj,:@computed_region_kxmf_bzkv,:@computed_region_p8tp_5dkv,:@computed_region_qeuu_piif,:@computed_region_xxr9_iwz2
BP2023-00288,Completed,2023-01-09T00:00:00.000,2023-07-03T00:00:00.000,2024-08-14T00:00:00.000,Commercial / Multi Family Project,Building,1606 - Ths Townhouse,Townhouse,Residential,New,New,New,5 Unit Rowhouse - Bldg 6,TRICOR DESIGN GROUP,SAN CONSTRUCTIONS,5,1696703.04,,105 CORNER MEADOWS SQ NE,CNS,CORNERSTONE,51.153209536773105,-113.93246117296273,6,Titled Parcel;Building;Building;Building;Building;Building,240 CORNER MEADOWS MR NE;111 CORNER MEADOWS SQ NE;109 CORNER MEADOWS SQ NE;105 CORNER MEADOWS SQ NE;113 CORNER MEADOWS SQ NE;107 CORNER MEADOWS SQ NE,"MULTIPOINT (-113.93246117296273 51.153209536773105,-113.93200933808048 51.15349182608663,-113.93200659086534 51.153435334055416,-113.93200675253053 51.15332532882544,-113.93200643094303 51.153544152661595,-113.93200667125548 51.1533806325909)","{""type"":""MultiPoint"",""coordinates"":[[-113.9324612,51.1532095],[-113.9320093,51.1534918],[-113.9320066,51.1534353],[-113.9320068,51.1533253],[-113.9320064,51.1535442],[-113.9320067,51.1533806]]}","{'type': 'Point', 'coordinates': [-113.93246117296273, 51.153209536773105]}",11,4,11,1,204,5
BP2023-21387,Completed,2023-12-12T00:00:00.000,2023-12-28T00:00:00.000,2024-09-20T00:00:00.000,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,Improvement,Existing,Secondary Suite,,,1,89338.59,,355R ALCOTT CR SE,ACA,ACADIA,50.96616675634885,-114.06314951989253,3,Titled Parcel;Building;Building Suite,355 ALCOTT CR SE;355 ALCOTT CR SE;355R ALCOTT CR SE,"MULTIPOINT (-114.06314951989253 50.96616675634885,-114.06312117519002 50.96607242313241,-114.06310372117011 50.9660093507438)","{""type"":""MultiPoint"",""coordinates"":[[-114.0631495,50.9661668],[-114.0631212,50.9660724],[-114.0631037,50.9660094]]}","{'type': 'Point', 'coordinates': [-114.06314951989253, 50.96616675634885]}",10,3,174,5,151,11
BP2023-01765,Issued Permit,2023-02-13T00:00:00.000,2024-08-14T00:00:00.000,,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Interior Demolition,,,0,6500,,#300 1202 1 ST SW,BLN,BELTLINE,51.041328139800925,-114.0656364872691,3,Titled Parcel;Building;Building Suite,1202 1 ST SW;1202 1 ST SW;#300 1202 1 ST SW,"MULTIPOINT (-114.0656364872691 51.041328139800925,-114.0654229790575 51.04132852021239,-114.0654229790575 51.04132852021239)","{""type"":""MultiPoint"",""coordinates"":[[-114.0656365,51.0413281],[-114.065423,51.0413285],[-114.065423,51.0413285]]}","{'type': 'Point', 'coordinates': [-114.0656364872691, 51.041328139800925]}",14,1,260,5,122,8
BP2022-10491,Completed,2022-06-15T00:00:00.000,2022-07-29T00:00:00.000,2024-04-04T00:00:00.000,Residential Improvement Project,Building,1301 - Private Detached Garage,Garage,Residential,New,New,New,Garage,ARCHI DESIGN,KINGSWAY HOMES,0,38768.88,,8141 47 AV NW,BOW,BOWNESS,51.094869179024904,-114.2046498475609,2,Titled Parcel;Building,8141 47 AV NW;8141 47 AV NW,"MULTIPOINT (-114.2046498475609 51.094869179024904,-114.20465496110441 51.0947663013079)","{""type"":""MultiPoint"",""coordinates"":[[-114.2046498,51.0948692],[-114.204655,51.0947663]]}","{'type': 'Point', 'coordinates': [-114.2046498475609, 51.094869179024904]}",13,2,149,9,279,1
BP2023-19693,Completed,2023-11-15T00:00:00.000,2023-11-28T00:00:00.000,2024-06-20T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,BSMT-DEV,",HOMES BY AVI (CALGARY),HOMES BY AVI (CALGARY),1,265265.64,1632,51 SUGARSNAP AV SE,RVW,RANGEVIEW,50.87986239777328,-113.91917290415314,2,Titled Parcel;Building,51 SUGARSNAP AV SE;51 SUGARSNAP AV SE,"MULTIPOINT (-113.91917290415314 50.87986239777328,-113.91918366289653 50.87977932872356)","{""type"":""MultiPoint"",""coordinates"":[[-113.9191729,50.8798624],[-113.9191837,50.8797793]]}","{'type': 'Point', 'coordinates': [-113.91917290415314, 50.87986239777328]}",4,3,222,8,210,12
BP2023-16117,Completed,2023-09-20T00:00:00.000,2023-10-24T00:00:00.000,2024-04-08T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Showpass,GREENSTONE CONSTRUCTION,GREENSTONE CONSTRUCTION,0,500000,,#350N 8500 MACLEOD TR SE,ACA,ACADIA,50.976436146537075,-114.07109846347494,3,Titled Parcel;Building;Building Suite,8500 MACLEOD TR SE;8500 MACLEOD TR SE;#350N 8500 MACLEOD TR SE,"MULTIPOINT (-114.07109846347494 50.976436146537075,-114.07041610393796 50.976657287382466,-114.07041610393796 50.976657287382466)","{""type"":""MultiPoint"",""coordinates"":[[-114.0710985,50.9764361],[-114.0704161,50.9766573],[-114.0704161,50.9766573]]}","{'type': 'Point', 'coordinates': [-114.07109846347494, 50.976436146537075]}",10,3,174,5,151,11
BP2023-18620,Completed,2023-10-27T00:00:00.000,2023-11-14T00:00:00.000,2024-04-03T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,BSMT-DEV,GARAGE,DECK,PORCH,",JAYMAN BUILT,JAYMAN BUILT,1,461357.97,2710,195 SETONSTONE LD SE,SET,SETON,50.8677259942859,-113.94201206644114,2,Titled Parcel;Building,195 SETONSTONE LD SE;195 SETONSTONE LD SE,"MULTIPOINT (-113.94201206644114 50.8677259942859,-113.94183761796809 50.86777662012551)","{""type"":""MultiPoint"",""coordinates"":[[-113.9420121,50.867726],[-113.9418376,50.8677766]]}","{'type': 'Point', 'coordinates': [-113.94201206644114, 50.8677259942859]}",4,3,229,8,145,12
BP2024-09452,Completed,2024-05-16T00:00:00.000,2024-05-25T00:00:00.000,2025-03-24T00:00:00.000,Residential Improvement Project,Building,1101 - Improvements (Single Family),Single Family,Residential,Alteration,Improvement,Existing,Improvements,SEVEN DAY PERMITS,HEARTH & HOME FIREPLACE SPECIALTIES,0,10000,,63 CANTERBURY DR SW,CAN,CANYON MEADOWS,50.94201822436821,-114.08957962942861,2,Titled Parcel;Building,63 CANTERBURY DR SW;63 CANTERBURY DR SW,"MULTIPOINT (-114.08957962942861 50.94201822436821,-114.0897555925834 50.94193954456148)","{""type"":""MultiPoint"",""coordinates"":[[-114.0895796,50.9420182],[-114.0897556,50.9419395]]}","{'type': 'Point', 'coordinates': [-114.08957962942861, 50.94201822436821]}",5,1,283,6,116,13
BP2023-18204,Completed,2023-10-20T00:00:00.000,2024-06-20T00:00:00.000,2024-10-10T00:00:00.000,Residential Improvement Project,Building,1104 - Deck,Single Family,Residential,Alteration,Improvement,Existing,Deck,,,0,5534.36,,83 ROCKY RIDGE DR NW,ROC,ROCKY RIDGE,51.142081171597795,-114.2375292338266,2,Titled Parcel;Building,83 ROCKY RIDGE DR NW;83 ROCKY RIDGE DR NW,"MULTIPOINT (-114.2375292338266 51.142081171597795,-114.23736292857807 51.142060644346564)","{""type"":""MultiPoint"",""coordinates"":[[-114.2375292,51.1420812],[-114.2373629,51.1420606]]}","{'type': 'Point', 'coordinates': [-114.2375292338266, 51.142081171597795]}",13,2,193,9,198,1
BP2024-25423,Completed,2024-12-07T00:00:00.000,2025-01-05T00:00:00.000,2025-05-01T00:00:00.000,Residential Improvement Project,Building,1101 - Improvements (Single Family),Single Family,Residential,Alteration,Improvement,Existing,Improvements,,,0,25000,,31 SCENIC PARK CR NW,SCE,SCENIC ACRES,51.115268601963905,-114.21755910926063,2,Titled Parcel;Building,31 SCENIC PARK CR NW;31 SCENIC PARK CR NW,"MULTIPOINT (-114.21755910926063 51.115268601963905,-114.21745909033109 51.11517435185316)","{""type"":""MultiPoint"",""coordinates"":[[-114.2175591,51.1152686],[-114.2174591,51.1151744]]}","{'type': 'Point', 'coordinates': [-114.21755910926063, 51.115268601963905]}",13,2,148,9,196,1
BP2023-08458,Completed,2023-06-03T00:00:00.000,2023-06-13T00:00:00.000,2024-06-20T00:00:00.000,Residential Improvement Project,Building,1106 - Addition,Single Family,Residential,Addition,Improvement,Existing,"Addition, Deck, Improvements",SEVEN DAY PERMITS,PINNACLE GROUP RENOVATIONS BY DESIGN,0,48107.65,,67 DISCOVERY RIDGE PT SW,DIS,DISCOVERY RIDGE,51.01304803739711,-114.20541411285971,2,Titled Parcel;Building,67 DISCOVERY RIDGE PT SW;67 DISCOVERY RIDGE PT SW,"MULTIPOINT (-114.20541411285971 51.01304803739711,-114.20535497539883 51.01293920301594)","{""type"":""MultiPoint"",""coordinates"":[[-114.2054141,51.013048],[-114.205355,51.0129392]]}","{'type': 'Point', 'coordinates': [-114.20541411285971, 51.01304803739711]}",1,1,165,14,120,6
BP2021-18671,Completed,2021-10-28T00:00:00.000,2021-11-23T00:00:00.000,2024-04-03T00:00:00.000,Commercial / Multi Family Project,Building,5303 - Special Care Facility,Institutional,Non-Residential,Alteration,Improvement,Existing,Exterior Alterations,,,0,15000,,403 52 AV SW,WND,WINDSOR PARK,51.006816380684455,-114.07171163481888,2,Titled Parcel;Building,401 52 AV SW;403 52 AV SW,"MULTIPOINT (-114.07171163481888 51.006816380684455,-114.07181807859796 51.00671730172555)","{""type"":""MultiPoint"",""coordinates"":[[-114.0717116,51.0068164],[-114.0718181,51.0067173]]}","{'type': 'Point', 'coordinates': [-114.07171163481888, 51.006816380684455]}",8,1,144,5,278,11
BP2023-10136,Completed,2023-06-27T00:00:00.000,2023-07-04T00:00:00.000,2024-06-20T00:00:00.000,Residential Improvement Project,Building,1301 - Private Detached Garage,Garage,Residential,New,New,New,Garage,,,0,5207.76,,129 ROWMONT HE NW,HSN,HASKAYNE,51.105153644546334,-114.27276226520878,2,Titled Parcel;Building,129 ROWMONT HE NW;129 ROWMONT HE NW,"MULTIPOINT (-114.27276226520878 51.105153644546334,-114.27280990295543 51.10507153871538)","{""type"":""MultiPoint"",""coordinates"":[[-114.2727623,51.1051536],[-114.2728099,51.1050715]]}","{'type': 'Point', 'coordinates': [-114.27276226520878, 51.105153644546334]}",13,2,253,9,142,1
BP2023-13975,Completed,2023-08-21T00:00:00.000,2023-08-31T00:00:00.000,2024-08-14T00:00:00.000,Single Construction Permit,Building,1407 - Two Family Semi-Detached (1 Unit),Two Family,Residential,New,New,New,"SEMI-D,PORCH,SSuite",HOPEWELL RESIDENTIAL MANAGEMENT,HOPEWELL RESIDENTIAL MANAGEMENT,1,187105.88,1682,164B HOTCHKISS DR SE,HKS,HOTCHKISS,50.91795500125223,-113.89884639041865,3,Titled Parcel;Building;Building Suite,164 HOTCHKISS DR SE;164 HOTCHKISS DR SE;164B HOTCHKISS DR SE,"MULTIPOINT (-113.89884639041865 50.91795500125223,-113.8987791171123 50.91802238542562,-113.89877778398414 50.9179878899008)","{""type"":""MultiPoint"",""coordinates"":[[-113.8988464,50.917955],[-113.8987791,50.9180224],[-113.8987778,50.9179879]]}","{'type': 'Point', 'coordinates': [-113.89884639041865, 50.91795500125223]}",4,3,231,8,141,12
BP2023-11221,Completed,2023-07-12T00:00:00.000,2023-08-02T00:00:00.000,2024-03-05T00:00:00.000,Single Construction Permit,Building,1407 - Two Family Semi-Detached (1 Unit),Two Family,Residential,New,New,New,"SEMI-D,BSMT-DEV,PORCH,",PARTNERS DEVELOPMENT GROUP,PARTNERS DEVELOPMENT GROUP,1,187498.24,1684,23 HOMESTEAD GA NE,HSD,HOMESTEAD,51.11971007977443,-113.91250890568485,1,Titled Parcel,23 HOMESTEAD GA NE,POINT (-113.91250890568485 51.11971007977443),"{""type"":""Point"",""coordinates"":[-113.9125089,51.1197101]}","{'type': 'Point', 'coordinates': [-113.91250890568485, 51.11971007977443]}",11,4,164,1,144,5
BP2024-23619,Completed,2024-11-07T00:00:00.000,2024-11-19T00:00:00.000,2025-01-13T00:00:00.000,Residential Improvement Project,Building,1101 - Basement Development,Single Family,Residential,Alteration,Improvement,Existing,Basement Dev,ERIC HOME RENOVATION,ERIC HOME RENOVATION,0,38423.55,,82 GORDON DR SW,GLA,GLAMORGAN,51.011747272327746,-114.14905870564155,2,Titled Parcel;Building,82 GORDON DR SW;82 GORDON DR SW,"MULTIPOINT (-114.14905870564155 51.011747272327746,-114.14905622346348 51.01183093448273)","{""type"":""MultiPoint"",""coordinates"":[[-114.1490587,51.0117473],[-114.1490562,51.0118309]]}","{'type': 'Point', 'coordinates': [-114.14905870564155, 51.011747272327746]}",1,1,142,14,264,6
BP2023-09621,Completed,2023-06-19T00:00:00.000,2023-08-10T00:00:00.000,2024-04-03T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Interior alteration (Aspen Show suite).,,,0,210155,,#730 440 2 AV SW,EAU,EAU CLAIRE,51.05160200855511,-114.07102062999006,3,Titled Parcel;Building;Building Suite,440 2 AV SW;440 2 AV SW;#730 440 2 AV SW,"MULTIPOINT (-114.07102062999006 51.05160200855511,-114.07099912493601 51.05197719874312,-114.07099912493601 51.05197719874312)","{""type"":""MultiPoint"",""coordinates"":[[-114.0710206,51.051602],[-114.0709991,51.0519772],[-114.0709991,51.0519772]]}","{'type': 'Point', 'coordinates': [-114.07102062999006, 51.05160200855511]}",7,1,295,7,93,7
BP2024-03514,Completed,2024-03-01T00:00:00.000,2024-04-03T00:00:00.000,2025-03-03T00:00:00.000,Commercial / Multi Family Project,Building,1606 - Ths Townhouse,Townhouse,Residential,New,New,New,4 Unit Residential Rowhouse - Bldg A - MPH Celebration,GRAVITY ARCHITECTURE,MOUNTAIN PACIFIC HOMES,4,909823.99,,893 MAHOGANY BV SE,MAH,MAHOGANY,50.89607035440745,-113.91162731028419,5,Titled Parcel;Building;Building;Building;Building,891 MAHOGANY BV SE;895 MAHOGANY BV SE;897 MAHOGANY BV SE;893 MAHOGANY BV SE;899 MAHOGANY BV SE,"MULTIPOINT (-113.91162731028419 50.89607035440745,-113.91155599823715 50.89599989998757,-113.91155703104197 50.895949952521924,-113.91155780029322 50.896039151541586,-113.91155711551596 50.89590535336694)","{""type"":""MultiPoint"",""coordinates"":[[-113.9116273,50.8960704],[-113.911556,50.8959999],[-113.911557,50.89595],[-113.9115578,50.8960392],[-113.9115571,50.8959054]]}","{'type': 'Point', 'coordinates': [-113.91162731028419, 50.89607035440745]}",4,3,116,8,209,12
BP2022-15547,Completed,2022-09-12T00:00:00.000,2022-09-15T00:00:00.000,2024-09-23T00:00:00.000,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,Demolition,Existing,,CRAFTCORE HOMES,CRAFTCORE HOMES,0,,,723 35 ST NW,PKD,PARKDALE,51.06136556616777,-114.13756465097583,1,Titled Parcel,723 35 ST NW,POINT (-114.13756465097583 51.06136556616777),"{""type"":""Point"",""coordinates"":[-114.1375647,51.0613656]}","{'type': 'Point', 'coordinates': [-114.13756465097583, 51.06136556616777]}",7,2,91,7,282,7
BP2025-11614,Pre Backfill Phase,2025-06-17T00:00:00.000,2025-08-07T00:00:00.000,,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,BSMT-DEV,FIREPLACE,",JERRY HOMES,JERRY HOMES,1,703582.72,4324,2034 49 AV SW,ALT,ALTADORE,51.00982499507682,-114.10827981108842,1,Titled Parcel,2034 49 AV SW,POINT (-114.10827981108842 51.00982499507682),"{""type"":""Point"",""coordinates"":[-114.1082798,51.009825]}","{'type': 'Point', 'coordinates': [-114.10827981108842, 51.00982499507682]}",8,1,200,2,303,8
BP2023-21115,Completed,2023-12-07T00:00:00.000,2023-12-14T00:00:00.000,2024-04-03T00:00:00.000,Residential Improvement Project,Building,1101 - Basement Development,Single Family,Residential,Alteration,Improvement,Existing,Basement Dev,GLOSSWORKS ALBERTA,,0,37523,,133 ARBOUR CREST HT NW,ARB,ARBOUR LAKE,51.139506843132935,-114.20192892336621,2,Titled Parcel;Building,133 ARBOUR CREST HT NW;133 ARBOUR CREST HT NW,"MULTIPOINT (-114.20192892336621 51.139506843132935,-114.2018670574798 51.13958755965082)","{""type"":""MultiPoint"",""coordinates"":[[-114.2019289,51.1395068],[-114.2018671,51.1395876]]}","{'type': 'Point', 'coordinates': [-114.20192892336621, 51.139506843132935]}",3,2,244,10,37,2
BP2023-18648,Completed,2023-10-27T00:00:00.000,2023-12-13T00:00:00.000,2024-09-20T00:00:00.000,Commercial / Multi Family Project,Building,1606 - Ths Townhouse,Townhouse,Residential,New,New,New,New 4-Unit Rowhouse (Bldg 7),TRUMAN HOMES 1995,TRUMAN HOMES 1995,4,1134117.28,,#203 8155 8 AV SW,WSP,WEST SPRINGS,51.063248824067756,-114.20414282751237,5,Titled Parcel;Building;Building;Building;Building,8155 8 AV SW;#204 8155 8 AV SW;#201 8155 8 AV SW;#202 8155 8 AV SW;#203 8155 8 AV SW,"MULTIPOINT (-114.20414282751237 51.063248824067756,-114.20421271770023 51.062778512839834,-114.20447270641847 51.06277889439972,-114.20438295482933 51.062778215315284,-114.20430113886259 51.06277835833653)","{""type"":""MultiPoint"",""coordinates"":[[-114.2041428,51.0632488],[-114.2042127,51.0627785],[-114.2044727,51.0627789],[-114.204383,51.0627782],[-114.2043011,51.0627784]]}","{'type': 'Point', 'coordinates': [-114.20414282751237, 51.063248824067756]}",1,1,114,14,178,6
BP2023-14903,Completed,2023-09-02T00:00:00.000,2023-10-05T00:00:00.000,2024-05-01T00:00:00.000,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,Improvement,Existing,Secondary Suite,CHEEMA HOMES,CHEEMA HOMES,1,69864,,342R PANAMOUNT BV NW,PAN,PANORAMA HILLS,51.1585919725777,-114.07886223428721,3,Titled Parcel;Building;Building Suite,342 PANAMOUNT BV NW;342 PANAMOUNT BV NW;342R PANAMOUNT BV NW,"MULTIPOINT (-114.07886223428721 51.1585919725777,-114.07894787636208 51.1586820710958,-114.07902074947178 51.158728461952705)","{""type"":""MultiPoint"",""coordinates"":[[-114.0788622,51.158592],[-114.0789479,51.1586821],[-114.0790207,51.1587285]]}","{'type': 'Point', 'coordinates': [-114.07886223428721, 51.1585919725777]}",11,2,235,12,219,3
BP2024-02903,Completed,2024-02-21T00:00:00.000,2024-04-09T00:00:00.000,2024-09-20T00:00:00.000,Commercial / Multi Family Project,Building,3609 - Restaurant - Take-Out (No Seats),Commercial,Non-Residential,Alteration,Improvement,Existing,Interior Alterations,YYC BUILT,YYC BUILT,0,20500,,#212 202 6 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,51.04765407897139,-114.06580037885148,3,Titled Parcel;Building;Building Suite,202 6 AV SW;202 6 AV SW;#212 202 6 AV SW,"MULTIPOINT (-114.06580037885148 51.04765407897139,-114.06581113675782 51.047818432141426,-114.06581113675782 51.047818432141426)","{""type"":""MultiPoint"",""coordinates"":[[-114.0658004,51.0476541],[-114.0658111,51.0478184],[-114.0658111,51.0478184]]}","{'type': 'Point', 'coordinates': [-114.06580037885148, 51.04765407897139]}",7,1,262,7,130,7
BP2022-13378,Completed,2022-08-04T00:00:00.000,2022-08-05T00:00:00.000,2024-04-30T00:00:00.000,Residential Improvement Project,Building,9999 - Unspecified,Unspecified,Residential,New,New,New,Accessory Building,,,0,1999.99,,1751 VALLEYVIEW RD NE,VIS,VISTA HEIGHTS,51.07093130650418,-114.01886894119367,2,Titled Parcel;Building,1751 VALLEYVIEW RD NE;1751 VALLEYVIEW RD NE,"MULTIPOINT (-114.01886894119367 51.07093130650418,-114.01886426636692 51.07083904604252)","{""type"":""MultiPoint"",""coordinates"":[[-114.0188689,51.0709313],[-114.0188643,51.070839]]}","{'type': 'Point', 'coordinates': [-114.01886894119367, 51.07093130650418]}",9,4,141,3,263,10
BP2024-13021,Completed,2024-06-28T00:00:00.000,2024-08-14T00:00:00.000,2025-05-15T00:00:00.000,Single Construction Permit,Building,1407 - Two Family Semi-Detached (1 Unit),Two Family,Residential,New,New,New,"SEMI-D,DECK,PORCH,",HOMES BY AVI (CALGARY),HOMES BY AVI (CALGARY),1,165578.64,1455,551 RANGEVIEW ST SE,RVW,RANGEVIEW,50.87285239076474,-113.92239832214955,2,Titled Parcel;Building,551 RANGEVIEW ST SE;551 RANGEVIEW ST SE,"MULTIPOINT (-113.92239832214955 50.87285239076474,-113.92250617721537 50.87289447269055)","{""type"":""MultiPoint"",""coordinates"":[[-113.9223983,50.8728524],[-113.9225062,50.8728945]]}","{'type': 'Point', 'coordinates': [-113.92239832214955, 50.87285239076474]}",4,3,222,8,210,12
BP2024-16961,Completed,2024-08-14T00:00:00.000,2024-09-12T00:00:00.000,2025-03-20T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,BSMT-DEV,GARAGE,DECK,PORCH,",STERLING HOMES,STERLING HOMES,1,421106.49,2419,389 SORA WY SE,HKS,HOTCHKISS,50.90920111530105,-113.88668374931677,2,Titled Parcel;Building,389 SORA WY SE;389 SORA WY SE,"MULTIPOINT (-113.88668374931677 50.90920111530105,-113.88687455189869 50.909203017399435)","{""type"":""MultiPoint"",""coordinates"":[[-113.8866837,50.9092011],[-113.8868746,50.909203]]}","{'type': 'Point', 'coordinates': [-113.88668374931677, 50.90920111530105]}",4,3,231,8,141,12
BP2024-20046,Issued Permit,2024-09-20T00:00:00.000,2025-06-19T00:00:00.000,,Commercial / Multi Family Project,Building,1606 - Ths Townhouse,Townhouse,Residential,Alteration,Improvement,Existing,interior,PRIME DESIGN SOLUTIONS,,0,,,2620B 14 AV SE,ALB,ALBERT PARK/RADISSON HEIGHTS,51.04060217216336,-113.9991177021648,3,Titled Parcel;Building;Building Suite,2620 14 AV SE;2620 14 AV SE;2620B 14 AV SE,"MULTIPOINT (-113.9991177021648 51.04060217216336,-113.99911255278653 51.04069375958898,-113.99904874077576 51.04075497921128)","{""type"":""MultiPoint"",""coordinates"":[[-113.9991177,51.0406022],[-113.9991126,51.0406938],[-113.9990487,51.040755]]}","{'type': 'Point', 'coordinates': [-113.9991177021648, 51.04060217216336]}",12,3,121,11,301,9
BP2024-19396,New,2024-09-12T00:00:00.000,,,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,New,New,New,Secondary Suite,IREC HOME DECOR,IREC HOME DECOR,1,71261.28,,1047 16A ST NE,MAL,MAYLAND HEIGHTS,51.06233056951207,-114.020596913154,2,Titled Parcel;Building,1047 16A ST NE;1047 16A ST NE,"MULTIPOINT (-114.020596913154 51.06233056951207,-114.02075495266168 51.062331449518936)","{""type"":""MultiPoint"",""coordinates"":[[-114.0205969,51.0623306],[-114.020755,51.0623314]]}","{'type': 'Point', 'coordinates': [-114.020596913154, 51.06233056951207]}",12,4,140,3,68,10
BP2025-22363,Issued Permit,2025-11-19T00:00:00.000,2025-11-26T00:00:00.000,,Residential Improvement Project,Building,1301 - Private Detached Garage,Garage,Residential,New,New,New,Garage,BRAVEHOMES,BRAVEHOMES,0,46676.96,,94 SETONVISTA GV SE,RRC,RICARDO RANCH,50.85949218425452,-113.95450319647084,2,Titled Parcel;Building,94 SETONVISTA GV SE;94 SETONVISTA GV SE,"MULTIPOINT (-113.95450319647084 50.85949218425452,-113.95449301264915 50.859579248630844)","{""type"":""MultiPoint"",""coordinates"":[[-113.9545032,50.8594922],[-113.954493,50.8595792]]}","{'type': 'Point', 'coordinates': [-113.95450319647084, 50.85949218425452]}",4,3,256,8,238,12
BP2024-20312,Completed,2024-09-24T00:00:00.000,2024-10-10T00:00:00.000,2025-01-14T00:00:00.000,Commercial / Multi Family Project,Building,3299 - Storage/Warehouse Misc.,Commercial,Non-Residential,Alteration,Improvement,Existing,Interior Alterations,,,0,100000,,#5000 2600 48 AV NE,HOR,HORIZON,51.09778112007084,-113.99838230854805,2,Titled Parcel;Building,#5000 2600 48 AV NE;#5000 2600 48 AV NE,"MULTIPOINT (-113.99838230854805 51.09778112007084,-113.99791653925209 51.09806372934053)","{""type"":""MultiPoint"",""coordinates"":[[-113.9983823,51.0977811],[-113.9979165,51.0980637]]}","{'type': 'Point', 'coordinates': [-113.99838230854805, 51.09778112007084]}",11,4,71,1,220,10
BP2024-19018,Completed,2024-09-09T00:00:00.000,2024-10-24T00:00:00.000,2025-10-27T00:00:00.000,Residential Improvement Project,Building,1301 - Private Detached Garage,Garage,Residential,New,New,New,Garage,,,0,76380.48,,551 LIVINGSTON WY NE,LIV,LIVINGSTON,51.18667670960333,-114.05163002516984,2,Titled Parcel;Building,551 LIVINGSTON WY NE;551 LIVINGSTON WY NE,"MULTIPOINT (-114.05163002516984 51.18667670960333,-114.051646736997 51.186578168160054)","{""type"":""MultiPoint"",""coordinates"":[[-114.05163,51.1866767],[-114.0516467,51.1865782]]}","{'type': 'Point', 'coordinates': [-114.05163002516984, 51.18667670960333]}",11,4,246,12,212,3
BP2024-19041,Completed,2024-09-09T00:00:00.000,2024-09-11T00:00:00.000,2024-10-10T00:00:00.000,Residential Improvement Project,Building,1301 - Private Detached Garage,Garage,Residential,New,New,New,Garage,KARTAR CONSTRUCTION,KARTAR CONSTRUCTION,0,46291.2,,104 COVEPARK CL NE,COV,COVENTRY HILLS,51.16492372196268,-114.05576798498723,2,Titled Parcel;Building,104 COVEPARK CL NE;104 COVEPARK CL NE,"MULTIPOINT (-114.05576798498723 51.16492372196268,-114.05565957489439 51.165002522032715)","{""type"":""MultiPoint"",""coordinates"":[[-114.055768,51.1649237],[-114.0556596,51.1650025]]}","{'type': 'Point', 'coordinates': [-114.05576798498723, 51.16492372196268]}",11,4,251,12,19,3
BP2023-13472,Completed,2023-08-14T00:00:00.000,2023-08-28T00:00:00.000,2024-04-03T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,BSMT-DEV,DECK,PORCH,",MORRISON HOMES (CALGARY),MORRISON HOMES (CALGARY),1,164993.83,873,225 HASKAYNE DR NW,HSN,HASKAYNE,51.10926987063603,-114.27512368520219,2,Titled Parcel;Building,225 HASKAYNE DR NW;225 HASKAYNE DR NW,"MULTIPOINT (-114.27512368520219 51.10926987063603,-114.27516775393066 51.10919516179614)","{""type"":""MultiPoint"",""coordinates"":[[-114.2751237,51.1092699],[-114.2751678,51.1091952]]}","{'type': 'Point', 'coordinates': [-114.27512368520219, 51.10926987063603]}",13,2,253,9,142,1
BP2023-17947,Completed,2023-10-17T00:00:00.000,2024-04-03T00:00:00.000,2024-11-08T00:00:00.000,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,New,New,New,Secondary Suite,,,1,,,74R CRANWELL SQ SE,CRA,CRANSTON,50.88393917787539,-113.98332866344755,3,Titled Parcel;Building;Building Suite,74 CRANWELL SQ SE;74 CRANWELL SQ SE;74R CRANWELL SQ SE,"MULTIPOINT (-113.98332866344755 50.88393917787539,-113.9833288207392 50.88405593978277,-113.98339127858988 50.884140895023016)","{""type"":""MultiPoint"",""coordinates"":[[-113.9833287,50.8839392],[-113.9833288,50.8840559],[-113.9833913,50.8841409]]}","{'type': 'Point', 'coordinates': [-113.98332866344755, 50.88393917787539]}",4,3,294,8,146,12
